index,Price,Rating,processor_tier,num_cores,num_threads,ram_memory,primary_storage_capacity,secondary_storage_capacity,is_touch_screen,display_size,resolution_width,resolution_height,year_of_warranty,total_number_of_pixels,total_pixels_per_square_of_diag,gpu_brand_amd,gpu_brand_apple,gpu_brand_intel,gpu_brand_nvidia,gpu_type_integrated,OS_chrome,OS_other,OS_ubuntu,OS_windows,brand_acer,brand_asus,brand_avita,brand_chuwi,brand_dell,brand_fujitsu,brand_gigabyte,brand_honor,brand_hp,brand_iball,brand_infinix,brand_jio,brand_lenovo,brand_lg,brand_microsoft,brand_msi,brand_realme,brand_samsung,brand_tecno,brand_ultimus,brand_walker,brand_wings,brand_zebronics,processor_brand_amd,processor_brand_intel,primary_storage_type_SSD
337,0.31505683755948355,0.1079646017699115,1,0.0,0.12499999999999999,0.1764705882352941,0.33333333333333337,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,0.500981081225577,0.569775357385977,4,0.5578858913022597,0.47920732818470435,0.4117647058823529,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
131,0.3000636282541367,0.24846834581347854,3,0.5578858913022597,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
856,0.36651621408254065,0.3795779441797141,4,0.2789429456511298,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.24249425526215743,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.4416093787118154,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
620,0.997985102712452,0.859496255956433,6,1.0,0.9999999999999999,0.058823529411764705,0.8333333333333334,0.0,0,1.0,0.9338339959983477,0.7074513707254804,1,0.8594693693054456,0.6969080552076026,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
154,0.8441106957256428,0.3795779441797141,7,0.7210570543488701,0.47920732818470435,0.1764705882352941,0.6666666666666666,0.0,0,0.566370802120475,1.0,0.8868632602372415,1,1.0,0.9446645391766033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
961,0.3155724347629709,0.2897208985704561,3,0.2789429456511298,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.24249425526215743,0.20197356871695504,0.0,1,0.042568253103393516,0.10645700616451581,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
208,0.24397803867974743,0.26194690265486725,3,0.0,0.21022410381342865,0.1764705882352941,0.6666666666666666,0.0,0,0.24249425526215743,0.49465997018880437,0.3706787238257263,1,0.4199439581387363,0.4934345035432841,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
621,0.3898480075236421,0.3485364193328795,3,0.4421141086977403,0.35355339059327373,0.1764705882352941,0.8333333333333334,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
290,0.48903972106003324,0.44492852280462897,4,0.7210570543488701,0.5946035575013605,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
